               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1038,            0.012987,            0.028356,           0.0024733,             0.53544,           0.0046517,           0.0015744,             0.07308,           0.0098692,            0.026956,            0.070732,            0.003252,            0.003252
                   1,            0.065987,            0.012247,            0.026397,             0.42499,             0.34197,             0.27877,            0.091627,            0.058703,           0.0067159,            0.026251,            0.040601,            0.006455,            0.006455
                   2,            0.058612,           0.0097496,            0.025752,             0.35567,             0.47374,             0.32282,             0.10414,            0.057973,           0.0067239,            0.025434,            0.010339,           0.0095259,           0.0095259
                   3,            0.055857,           0.0080752,            0.025104,             0.32834,             0.47079,             0.31811,             0.10854,            0.058927,            0.013621,            0.023673,            0.009406,            0.009406,            0.009406
                   4,             0.05313,           0.0072559,            0.022388,              0.5098,             0.49719,             0.42635,             0.15429,            0.056978,            0.006934,            0.019169,            0.009406,            0.009406,            0.009406
                   5,            0.051831,            0.006898,            0.017646,             0.68335,             0.53748,             0.59884,             0.24971,             0.05433,           0.0054896,            0.018054,            0.009208,            0.009208,            0.009208
                   6,            0.051707,           0.0065904,            0.013804,              0.7592,             0.52411,             0.59694,             0.24411,            0.052624,            0.006005,            0.011197,             0.00901,             0.00901,             0.00901
                   7,            0.052022,           0.0065466,            0.013101,             0.54339,             0.39141,             0.38253,             0.14299,            0.063696,           0.0079796,            0.027166,            0.008812,            0.008812,            0.008812
                   8,            0.050094,           0.0065911,           0.0098866,             0.64716,             0.47611,             0.50822,             0.21494,            0.054102,           0.0057541,            0.020779,            0.008614,            0.008614,            0.008614
                   9,            0.049546,           0.0067377,           0.0098083,             0.70695,             0.49945,             0.57299,             0.24947,            0.050282,           0.0052922,            0.026442,            0.008416,            0.008416,            0.008416
                  10,            0.048464,           0.0062684,           0.0087987,             0.75452,             0.54441,             0.60817,             0.28241,            0.050456,           0.0064447,           0.0087275,            0.008218,            0.008218,            0.008218
                  11,            0.047705,           0.0061845,           0.0089401,             0.80837,             0.61663,             0.72617,             0.30363,            0.045428,           0.0044867,            0.010725,             0.00802,             0.00802,             0.00802
                  12,            0.046269,           0.0062261,           0.0073464,             0.83815,             0.66285,             0.72902,             0.30071,            0.047062,           0.0042998,           0.0072759,            0.007822,            0.007822,            0.007822
                  13,            0.045402,           0.0061865,           0.0082662,             0.82971,              0.6433,             0.73181,             0.33957,            0.046314,           0.0045471,           0.0082793,            0.007624,            0.007624,            0.007624
                  14,            0.046063,           0.0060671,           0.0080262,              0.8193,             0.64706,             0.73454,             0.33267,            0.044671,           0.0046418,           0.0075165,            0.007426,            0.007426,            0.007426
                  15,            0.043905,           0.0059454,           0.0065047,             0.85278,             0.62223,             0.72581,             0.30538,            0.046154,           0.0046504,           0.0059493,            0.007228,            0.007228,            0.007228
                  16,            0.043828,           0.0058822,           0.0057949,             0.84767,             0.73856,             0.80364,             0.36896,            0.041368,           0.0043867,           0.0040938,             0.00703,             0.00703,             0.00703
                  17,            0.043508,            0.005919,           0.0064146,             0.84189,             0.70117,             0.77531,             0.35128,            0.043402,            0.004472,           0.0072663,            0.006832,            0.006832,            0.006832
                  18,             0.04266,           0.0059692,           0.0058251,             0.89741,             0.70846,             0.79677,             0.38672,            0.041872,           0.0041266,           0.0097666,            0.006634,            0.006634,            0.006634
